# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454491356
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.418136
# Diagonal elements of inverse mass matrix:
# 0.0133717, 0.611689, 0.105808, 0.014638, 0.0164187, 0.28856
155.664,0.942732,0.418136,3,7,0,0.366901,1.50317,2.01359,0.152629,0.283187,0.402698,0.0816078,0.317917,0.366901,0.366901,0.366901,0.366901,0.366901,0.402698,0.263067,0.263067,0.746822,0.746822,0.746822,0.746822,0.746822,0.246621
155.852,0.9735,0.418136,4,11,0,0.320355,0.276872,6.11628,0.148855,0.40761,0.200357,0.242878,0.319648,0.320355,0.320355,0.320355,0.320355,0.320355,0.200357,0.257484,0.257484,0.738075,0.738075,0.738075,0.738075,0.738075,0.334762
156.113,0.94174,0.418136,3,7,0,0.336074,0.27194,6.48574,0.154062,0.385211,0.23746,0.256055,0.335562,0.336074,0.336074,0.336074,0.336074,0.336074,0.23746,0.265176,0.265176,0.750066,0.750066,0.750066,0.750066,0.750066,0.319693
156.728,0.927592,0.418136,3,7,0,0.32625,0.573379,4.16135,0.131664,0.328504,0.184277,0.18388,0.321165,0.32625,0.32625,0.32625,0.32625,0.32625,0.184277,0.23151,0.23151,0.694247,0.694247,0.694247,0.694247,0.694247,0.28
158.635,0.93021,0.418136,3,7,0,0.326033,0.686333,2.39126,0.173914,0.310074,0.393326,0.164131,0.296197,0.326033,0.326033,0.326033,0.326033,0.326033,0.393326,0.293779,0.293779,0.790959,0.790959,0.790959,0.790959,0.790959,0.266607
157.191,0.763508,0.418136,3,7,0,0.323162,1.05324,3.37521,0.161229,0.378456,0.304744,0.11272,0.312106,0.323162,0.323162,0.323162,0.323162,0.323162,0.304744,0.275634,0.275634,0.765679,0.765679,0.765679,0.765679,0.765679,0.315082
155.9,0.990358,0.418136,3,7,0,0.362526,0.475382,4.7273,0.15634,0.393051,0.314956,0.225363,0.359317,0.362526,0.362526,0.362526,0.362526,0.362526,0.314956,0.268516,0.268516,0.755139,0.755139,0.755139,0.755139,0.755139,0.325006
157.225,1,0.418136,3,7,0,0.356178,1.2207,3.43974,0.150067,0.39385,0.278681,0.105081,0.344755,0.356178,0.356178,0.356178,0.356178,0.356178,0.278681,0.259281,0.259281,0.740916,0.740916,0.740916,0.740916,0.740916,0.325545
155.212,0.97452,0.418136,3,7,0,0.251091,0.387884,3.47626,0.171209,0.304927,0.608186,0.170363,0.243326,0.251091,0.251091,0.251091,0.251091,0.251091,0.608186,0.289949,0.289949,0.785808,0.785808,0.785808,0.785808,0.785808,0.262823
156.913,0.966911,0.418136,4,11,0,0.344321,1.10246,2.36996,0.173798,0.335775,0.186624,0.114333,0.312132,0.344321,0.344321,0.344321,0.344321,0.344321,0.186624,0.293616,0.293616,0.790741,0.790741,0.790741,0.790741,0.790741,0.285216
