"","beta","r","logm1","logm2","sensrate","prop"
"236",0.338243,0.194568,0.301429,2.2141,0.161693,0.332301
"237",0.361905,0.18369,1.208,3.51278,0.136043,0.299667
"238",0.3506,0.177977,0.67319,3.55659,0.147547,0.309469
"239",0.361408,0.406713,0.751598,3.65196,0.134042,0.329273
"240",0.355976,0.587407,1.35351,4.36782,0.13096,0.371528
"241",0.369621,0.563253,1.14901,5.29891,0.136258,0.347092
"242",0.258186,0.401235,0.196159,2.09007,0.126833,0.305547
"243",0.263061,0.456944,0.293876,2.48129,0.119441,0.298576
"244",0.281702,0.413764,0.818659,2.48011,0.135513,0.323797
"245",0.279736,0.488016,0.376576,2.24386,0.138477,0.32381
"246",0.323069,0.411468,1.56848,4.88965,0.157065,0.282342
"247",0.334681,0.346706,1.0788,3.71171,0.147053,0.229264
"248",0.325392,0.342882,0.567863,3.93606,0.143574,0.225528
"249",0.295379,0.486154,0.0976245,2.8327,0.162762,0.3225
"250",0.326871,0.299224,0.112304,2.88305,0.143738,0.298534
"251",0.310293,0.277905,0.379178,2.80616,0.131457,0.284704
"252",0.308733,0.226535,1.18127,4.38169,0.145866,0.251318
"253",0.32133,0.424701,0.952213,2.61725,0.215506,0.249497
"254",0.310669,0.319527,1.05921,2.63165,0.147116,0.266725
"255",0.360255,0.373925,0.489558,2.6665,0.154817,0.33116
"256",0.331954,0.183515,0.768454,3.16325,0.160487,0.291888
"257",0.331954,0.183515,0.768454,3.16325,0.160487,0.291888
"258",0.331954,0.183515,0.768454,3.16325,0.160487,0.291888
"259",0.3344,0.173557,0.791408,3.05269,0.156779,0.280318
"260",0.335962,0.282135,0.936528,2.37958,0.153049,0.260541
"261",0.291129,0.41594,1.38727,3.91229,0.132643,0.270338
"262",0.297616,0.540245,0.0834455,2.24281,0.163584,0.353379
"263",0.285531,0.58065,0.00432395,3.33371,0.125674,0.349898
"264",0.283753,0.55435,0.00722046,3.47524,0.137813,0.330135
"265",0.291907,0.487626,0.00540239,2.32195,0.145203,0.319701
"266",0.313652,0.306923,0.139874,2.77177,0.148399,0.31112
"267",0.333169,0.36747,0.191821,3.07219,0.159493,0.281038
"268",0.318078,0.539184,0.0773666,4.2528,0.179414,0.301126
"269",0.289191,0.625217,0.115586,2.92459,0.184496,0.311046
"270",0.297883,0.301499,1.7581,3.60549,0.149943,0.241094
"271",0.301703,0.298224,1.36306,4.01613,0.154036,0.241495
