# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596552506
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.354679
# Diagonal elements of inverse mass matrix:
# 0.00953172, 0.987204, 0.157232, 0.0161353, 0.0169729, 0.192843
157.463,0.959657,0.354679,3,7,0,0.336486,0.993786,3.81026,0.18937,0.307402,0.390709,0.124558,0.329036,0.336486,0.336486,0.336486,0.336486,0.336486,0.390709,0.315276,0.315276,0.818106,0.818106,0.818106,0.818106,0.818106,0.264645
157.281,0.986062,0.354679,2,3,0,0.328974,0.801021,4.3928,0.188453,0.301214,0.414761,0.147667,0.324906,0.328974,0.328974,0.328974,0.328974,0.328974,0.414761,0.314019,0.314019,0.816598,0.816598,0.816598,0.816598,0.816598,0.260081
157.376,0.902591,0.354679,3,7,0,0.331883,0.709499,3.98762,0.190326,0.336957,0.287021,0.16325,0.325729,0.331883,0.331883,0.331883,0.331883,0.331883,0.287021,0.316585,0.316585,0.819665,0.819665,0.819665,0.819665,0.819665,0.28606
157.309,0.986222,0.354679,3,7,0,0.32545,0.755268,3.84259,0.186502,0.347468,0.298416,0.152924,0.318473,0.32545,0.32545,0.32545,0.32545,0.32545,0.298416,0.311338,0.311338,0.81335,0.81335,0.81335,0.81335,0.81335,0.293525
156.892,0.917707,0.354679,3,7,0,0.355148,0.790078,3.03853,0.171862,0.321235,0.409023,0.161169,0.338134,0.355148,0.355148,0.355148,0.355148,0.355148,0.409023,0.290875,0.290875,0.787062,0.787062,0.787062,0.787062,0.787062,0.274747
157.732,0.99969,0.354679,4,15,0,0.316369,0.750661,2.23469,0.131101,0.395745,0.354451,0.149343,0.282509,0.316369,0.316369,0.316369,0.316369,0.316369,0.354451,0.230644,0.230644,0.692693,0.692693,0.692693,0.692693,0.692693,0.326822
156.586,0.985338,0.354679,4,15,0,0.348471,0.39041,5.27027,0.155875,0.394036,0.305202,0.235838,0.346679,0.348471,0.348471,0.348471,0.348471,0.348471,0.305202,0.267836,0.267836,0.754111,0.754111,0.754111,0.754111,0.754111,0.32567
157.704,0.999489,0.354679,3,7,0,0.303322,0.325381,4.19136,0.142206,0.390756,0.276119,0.219075,0.298734,0.303322,0.303322,0.303322,0.303322,0.303322,0.276119,0.247543,0.247543,0.721922,0.721922,0.721922,0.721922,0.721922,0.323455
157.69,0.980794,0.354679,3,7,0,0.340727,0.621106,1.66713,0.155036,0.328369,0.314145,0.18309,0.276402,0.340727,0.340727,0.340727,0.340727,0.340727,0.314145,0.266605,0.266605,0.752246,0.752246,0.752246,0.752246,0.752246,0.279903
157.467,0.981847,0.354679,4,15,0,0.325515,0.470923,2.3697,0.161917,0.390642,0.450542,0.20326,0.295077,0.325515,0.325515,0.325515,0.325515,0.325515,0.450542,0.27663,0.27663,0.767125,0.767125,0.767125,0.767125,0.767125,0.323378
158.26,0.998964,0.354679,3,7,0,0.317656,0.480953,3.36767,0.160747,0.388161,0.413979,0.196373,0.306706,0.317656,0.317656,0.317656,0.317656,0.317656,0.413979,0.274934,0.274934,0.764659,0.764659,0.764659,0.764659,0.764659,0.321697
158.209,0.995007,0.354679,4,15,0,0.298794,0.639776,2.44152,0.169226,0.290501,0.461931,0.157587,0.27279,0.298794,0.298794,0.298794,0.298794,0.298794,0.461931,0.287127,0.287127,0.78195,0.78195,0.78195,0.78195,0.78195,0.252111
158.426,0.969656,0.354679,4,15,0,0.301413,0.876838,4.11835,0.153646,0.344699,0.446875,0.125417,0.296509,0.301413,0.301413,0.301413,0.301413,0.301413,0.446875,0.264564,0.264564,0.749128,0.749128,0.749128,0.749128,0.749128,0.291567
156.945,0.99302,0.354679,4,15,0,0.286518,0.851138,3.79142,0.144571,0.30081,0.571787,0.122323,0.280053,0.286518,0.286518,0.286518,0.286518,0.286518,0.571787,0.251094,0.251094,0.727778,0.727778,0.727778,0.727778,0.727778,0.259782
152.497,0.93004,0.354679,3,7,0,0.257181,0.434052,7.40932,0.140454,0.388476,0.616965,0.166622,0.257025,0.257181,0.257181,0.257181,0.257181,0.257181,0.616965,0.244903,0.244903,0.717504,0.717504,0.717504,0.717504,0.717504,0.321911
154.724,0.947533,0.354679,3,7,0,0.287716,0.233403,2.83777,0.113989,0.417351,0.591404,0.227824,0.270869,0.287716,0.287716,0.287716,0.287716,0.287716,0.591404,0.203859,0.203859,0.641528,0.641528,0.641528,0.641528,0.641528,0.341211
152.297,0.964411,0.354679,3,7,0,0.261927,0.297145,2.91947,0.104903,0.403895,0.519228,0.194595,0.247792,0.261927,0.261927,0.261927,0.261927,0.261927,0.519228,0.189258,0.189258,0.610981,0.610981,0.610981,0.610981,0.610981,0.332286
155.416,0.992686,0.354679,3,7,0,0.273864,0.627928,2.41688,0.128306,0.391985,0.601867,0.14616,0.249435,0.273864,0.273864,0.273864,0.273864,0.273864,0.601867,0.226332,0.226332,0.684865,0.684865,0.684865,0.684865,0.684865,0.324286
158.527,0.99073,0.354679,4,15,0,0.340086,0.593056,3.95092,0.164611,0.34936,0.311187,0.187944,0.333544,0.340086,0.340086,0.340086,0.340086,0.340086,0.311187,0.280517,0.280517,0.772704,0.772704,0.772704,0.772704,0.772704,0.294861
157.748,0.983268,0.354679,3,7,0,0.341286,1.60353,4.36127,0.159765,0.303036,0.354974,0.0686618,0.336931,0.341286,0.341286,0.341286,0.341286,0.341286,0.354974,0.27351,0.27351,0.762571,0.762571,0.762571,0.762571,0.762571,0.261427
156.739,0.805846,0.354679,2,3,0,0.347382,1.49433,5.03883,0.156104,0.285136,0.344697,0.0779524,0.345131,0.347382,0.347382,0.347382,0.347382,0.347382,0.344697,0.268171,0.268171,0.754618,0.754618,0.754618,0.754618,0.754618,0.248088
156.26,0.974229,0.354679,4,15,0,0.320181,0.823359,3.55255,0.176086,0.349323,0.594568,0.140545,0.311008,0.320181,0.320181,0.320181,0.320181,0.320181,0.594568,0.296841,0.296841,0.795006,0.795006,0.795006,0.795006,0.795006,0.294835
153.59,0.967727,0.354679,4,15,0,0.300173,0.244157,6.94196,0.138365,0.444351,0.614344,0.235145,0.299883,0.300173,0.300173,0.300173,0.300173,0.300173,0.614344,0.241742,0.241742,0.712142,0.712142,0.712142,0.712142,0.712142,0.35876
