# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1614998522
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.600448
# Diagonal elements of inverse mass matrix:
# 0.0352813, 0.057412, 0.236375, 0.0125273, 0.141573, 0.415528
-50.4201,0.589139,0.600448,2,3,0,0.352362,1.69404,7.3018,0.15516,1.49323,0.413132,0.0647557,0.352124,0.352362,0.352362,0.352362,0.352362,0.413132,0.266788,0.266788,0.4624,0.4624,0.4624,0.4624,0.775354
-50.5835,0.977649,0.600448,2,3,0,0.349783,1.6486,5.63551,0.150986,1.46936,0.585058,0.06727,0.348535,0.349783,0.349783,0.349783,0.349783,0.585058,0.260641,0.260641,0.453348,0.453348,0.453348,0.453348,0.769927
-50.4078,0.995224,0.600448,3,7,0,0.394106,1.0267,1.25562,0.192704,3.83946,0.139689,0.141164,0.281825,0.394106,0.394106,0.394106,0.394106,0.139689,0.319827,0.319827,0.537365,0.537365,0.537365,0.537365,0.978495
-47.6813,0.993959,0.600448,3,7,0,0.365092,0.887183,3.74183,0.162171,4.68564,0.227665,0.15035,0.356435,0.365092,0.365092,0.365092,0.365092,0.227665,0.276996,0.276996,0.477266,0.477266,0.477266,0.477266,0.990773
-48.3818,0.931402,0.600448,3,7,0,0.352333,0.909689,3.36464,0.18698,4.26198,0.278756,0.141866,0.340151,0.352333,0.352333,0.352333,0.352333,0.278756,0.311995,0.311995,0.526649,0.526649,0.526649,0.526649,0.985906
-48.4107,0.847119,0.600448,3,7,0,0.382967,0.929675,3.70912,0.152769,1.579,0.242429,0.15115,0.373585,0.382967,0.382967,0.382967,0.382967,0.242429,0.263274,0.263274,0.457234,0.457234,0.457234,0.457234,0.793818
-45.4275,0.81458,0.600448,3,7,0,0.378038,1.00339,2.2992,0.150443,3.22503,0.314733,0.138602,0.340106,0.378038,0.378038,0.378038,0.378038,0.314733,0.259838,0.259838,0.45216,0.45216,0.45216,0.45216,0.960246
-45.4275,0.853494,0.600448,2,3,0,0.378038,1.00339,2.2992,0.150443,3.22503,0.314733,0.138602,0.340106,0.378038,0.378038,0.378038,0.378038,0.314733,0.259838,0.259838,0.45216,0.45216,0.45216,0.45216,0.960246
-45.7739,0.888501,0.600448,3,7,0,0.441071,2.3901,1.77607,0.171764,2.39195,0.358461,0.040411,0.366397,0.441071,0.441071,0.441071,0.441071,0.358461,0.290736,0.290736,0.496945,0.496945,0.496945,0.496945,0.908549
-45.8702,0.883971,0.600448,3,7,0,0.415056,1.82154,1.32425,0.182877,1.63876,0.390224,0.067146,0.304651,0.415056,0.415056,0.415056,0.415056,0.390224,0.306326,0.306326,0.518817,0.518817,0.518817,0.518817,0.805779
-46.2447,0.797197,0.600448,3,7,0,0.363212,1.78377,2.32865,0.141569,3.95639,0.285824,0.0610212,0.327826,0.363212,0.363212,0.363212,0.363212,0.285824,0.246585,0.246585,0.432365,0.432365,0.432365,0.432365,0.980868
-45.994,1,0.600448,2,3,0,0.399291,1.61146,3.68303,0.144457,3.50153,0.392768,0.0796968,0.38925,0.399291,0.399291,0.399291,0.399291,0.392768,0.250923,0.250923,0.438883,0.438883,0.438883,0.438883,0.969849
-46.7396,0.843669,0.600448,3,7,0,0.439525,1.08077,1.50143,0.159783,2.77313,0.389286,0.149146,0.341594,0.439525,0.439525,0.439525,0.439525,0.389286,0.273536,0.273536,0.47225,0.47225,0.47225,0.47225,0.937534
-47.7334,0.950698,0.600448,3,7,0,0.405461,1.57778,0.996709,0.127826,2.44312,0.229908,0.0837003,0.255808,0.405461,0.405461,0.405461,0.405461,0.229908,0.225589,0.225589,0.400288,0.400288,0.400288,0.400288,0.913111
-46.2305,1,0.600448,2,3,0,0.40912,1.44704,0.961778,0.139109,2.40053,0.331125,0.096252,0.252749,0.40912,0.40912,0.40912,0.40912,0.331125,0.242868,0.242868,0.426751,0.426751,0.426751,0.426751,0.90933
-45.7555,0.931347,0.600448,3,7,0,0.389541,1.25986,1.61918,0.162507,4.42887,0.372998,0.11051,0.312388,0.389541,0.389541,0.389541,0.389541,0.372998,0.277482,0.277482,0.477968,0.477968,0.477968,0.477968,0.988072
-46.2702,0.986517,0.600448,3,7,0,0.408797,1.30131,1.58782,0.157178,4.91673,0.225246,0.111265,0.325251,0.408797,0.408797,0.408797,0.408797,0.225246,0.269741,0.269741,0.466721,0.466721,0.466721,0.466721,0.992677
-45.5715,0.88825,0.600448,2,3,0,0.380152,1.22841,1.39015,0.149202,3.43895,0.275611,0.111292,0.285479,0.380152,0.380152,0.380152,0.380152,0.275611,0.257998,0.257998,0.449433,0.449433,0.449433,0.449433,0.967902
-45.5715,0.837661,0.600448,2,3,0,0.380152,1.22841,1.39015,0.149202,3.43895,0.275611,0.111292,0.285479,0.380152,0.380152,0.380152,0.380152,0.275611,0.257998,0.257998,0.449433,0.449433,0.449433,0.449433,0.967902
-45.4596,0.999149,0.600448,3,7,0,0.420479,1.2282,1.59006,0.168003,2.32822,0.377241,0.123124,0.334738,0.420479,0.420479,0.420479,0.420479,0.377241,0.285382,0.285382,0.489321,0.489321,0.489321,0.489321,0.902531
-45.1206,0.942014,0.600448,2,3,0,0.427189,1.54542,1.60432,0.156793,1.9124,0.301524,0.0910865,0.341313,0.427189,0.427189,0.427189,0.427189,0.301524,0.269178,0.269178,0.465899,0.465899,0.465899,0.465899,0.852275
-46.9297,0.983655,0.600448,3,7,0,0.32345,1.29311,3.58445,0.147901,3.44376,0.431278,0.0887596,0.314474,0.32345,0.32345,0.32345,0.32345,0.431278,0.256065,0.256065,0.446561,0.446561,0.446561,0.446561,0.968056
-46.9826,0.749892,0.600448,3,7,0,0.480469,1.59839,2.21833,0.159939,3.1482,0.201,0.0971616,0.428198,0.480469,0.480469,0.480469,0.480469,0.201,0.273762,0.273762,0.472579,0.472579,0.472579,0.472579,0.957071
-45.2469,0.995116,0.600448,3,7,0,0.397742,1.89787,2.34819,0.173946,2.38912,0.422426,0.0596164,0.359741,0.397742,0.397742,0.397742,0.397742,0.422426,0.293825,0.293825,0.501317,0.501317,0.501317,0.501317,0.90829
-46.9985,0.908889,0.600448,2,3,0,0.350363,1.78394,3.67392,0.164482,2.16682,0.563226,0.0588521,0.341472,0.350363,0.350363,0.350363,0.350363,0.563226,0.280331,0.280331,0.482076,0.482076,0.482076,0.482076,0.885459
-47.1716,1,0.600448,3,7,0,0.351835,1.66348,1.68931,0.177286,1.79935,0.596159,0.0666654,0.28687,0.351835,0.351835,0.351835,0.351835,0.596159,0.298526,0.298526,0.507934,0.507934,0.507934,0.507934,0.834593
-45.9282,0.836035,0.600448,3,7,0,0.40749,1.41303,0.948081,0.152717,2.95553,0.274739,0.0991849,0.249594,0.40749,0.40749,0.40749,0.40749,0.274739,0.263196,0.263196,0.45712,0.45712,0.45712,0.45712,0.947949
-46.8678,0.877932,0.600448,3,7,0,0.470767,1.47588,1.4479,0.169712,3.04428,0.445459,0.107606,0.360106,0.470767,0.470767,0.470767,0.470767,0.445459,0.287819,0.287819,0.492798,0.492798,0.492798,0.492798,0.952369
-47.1047,0.966098,0.600448,2,3,0,0.383112,2.02879,1.94448,0.157096,5.48081,0.288912,0.050377,0.328303,0.383112,0.383112,0.383112,0.383112,0.288912,0.269621,0.269621,0.466546,0.466546,0.466546,0.466546,0.995834
-48.8716,0.916422,0.600448,3,7,0,0.497797,1.95577,1.2398,0.120837,3.95082,0.248119,0.0704164,0.353714,0.497797,0.497797,0.497797,0.497797,0.248119,0.214688,0.214688,0.383285,0.383285,0.383285,0.383285,0.980761
-47.6422,0.999512,0.600448,3,7,0,0.523315,2.6362,0.737673,0.173543,1.98396,0.301696,0.0374865,0.273052,0.523315,0.523315,0.523315,0.523315,0.301696,0.293255,0.293255,0.500512,0.500512,0.500512,0.500512,0.862476
-49.1217,0.850945,0.600448,2,3,0,0.491986,2.99145,0.818676,0.171728,1.89046,0.208108,0.0247049,0.275012,0.491986,0.491986,0.491986,0.491986,0.208108,0.290686,0.290686,0.496874,0.496874,0.496874,0.496874,0.848998
-46.318,1,0.600448,2,3,0,0.472691,2.00102,2.22482,0.175491,3.00477,0.263091,0.0639068,0.421599,0.472691,0.472691,0.472691,0.472691,0.263091,0.296003,0.296003,0.504388,0.504388,0.504388,0.504388,0.95045
-46.783,0.954468,0.600448,3,7,0,0.45072,2.23853,0.836966,0.138033,2.6944,0.308044,0.0480536,0.255548,0.45072,0.45072,0.45072,0.45072,0.308044,0.241237,0.241237,0.424279,0.424279,0.424279,0.424279,0.932417
-45.4555,0.979047,0.600448,3,7,0,0.398782,2.15027,2.05382,0.146623,3.27082,0.300819,0.0464392,0.34764,0.398782,0.398782,0.398782,0.398782,0.300819,0.254162,0.254162,0.443725,0.443725,0.443725,0.443725,0.962025
-46.8477,0.82719,0.600448,3,7,0,0.40299,1.96941,4.4797,0.155534,3.51838,0.220438,0.056233,0.398421,0.40299,0.40299,0.40299,0.40299,0.220438,0.267335,0.267335,0.463203,0.463203,0.463203,0.463203,0.970353
-46.6167,0.994161,0.600448,3,7,0,0.391954,1.07286,1.02795,0.152224,2.34875,0.446703,0.134059,0.251736,0.391954,0.391954,0.391954,0.391954,0.446703,0.26247,0.26247,0.45605,0.45605,0.45605,0.45605,0.904512
-49.0683,0.828436,0.600448,3,7,0,0.377363,1.1776,1.4404,0.16621,5.08215,0.6607,0.116234,0.287991,0.377363,0.377363,0.377363,0.377363,0.6607,0.282814,0.282814,0.485644,0.485644,0.485644,0.485644,0.993793
-47.1817,1,0.600448,2,3,0,0.367848,1.23044,1.84759,0.160902,3.1719,0.652565,0.107471,0.309869,0.367848,0.367848,0.367848,0.367848,0.652565,0.275159,0.275159,0.474606,0.474606,0.474606,0.474606,0.958076
-46.3421,0.86189,0.600448,3,7,0,0.461292,2.28813,1.24064,0.175196,1.83836,0.222029,0.0468007,0.327887,0.461292,0.461292,0.461292,0.461292,0.222029,0.295588,0.295588,0.503803,0.503803,0.503803,0.503803,0.840922
-48.188,0.815313,0.600448,2,3,0,0.536292,1.60083,1.21629,0.167064,3.09039,0.345121,0.108185,0.377374,0.536292,0.536292,0.536292,0.536292,0.345121,0.284038,0.284038,0.487399,0.487399,0.487399,0.487399,0.954516
-50.3678,0.91738,0.600448,2,3,0,0.563006,1.47049,1.21392,0.171512,2.93622,0.348333,0.129386,0.395776,0.563006,0.563006,0.563006,0.563006,0.348333,0.290379,0.290379,0.496438,0.496438,0.496438,0.496438,0.946934
-49.3181,1,0.600448,1,1,0,0.561746,1.60208,1.01536,0.16908,3.4776,0.365813,0.113179,0.35824,0.561746,0.561746,0.561746,0.561746,0.365813,0.286919,0.286919,0.491515,0.491515,0.491515,0.491515,0.969118
-49.5666,0.999023,0.600448,2,3,0,0.488343,3.28793,0.816225,0.159618,1.90124,0.30187,0.0182303,0.272448,0.488343,0.488343,0.488343,0.488343,0.30187,0.273297,0.273297,0.471902,0.471902,0.471902,0.471902,0.850617
-46.4653,0.939328,0.600448,3,7,0,0.440043,1.94194,1.03657,0.187391,2.00444,0.422141,0.0631137,0.283973,0.440043,0.440043,0.440043,0.440043,0.422141,0.312561,0.312561,0.527427,0.527427,0.527427,0.527427,0.865265
-46.6858,0.948707,0.600448,2,3,0,0.449043,1.75182,1.85045,0.193304,1.78152,0.372949,0.0778897,0.378469,0.449043,0.449043,0.449043,0.449043,0.372949,0.320643,0.320643,0.538474,0.538474,0.538474,0.538474,0.831618
-49.8832,0.684983,0.600448,2,3,0,0.417554,1.74133,1.66685,0.229914,1.78824,0.249825,0.0731916,0.338702,0.417554,0.417554,0.417554,0.417554,0.249825,0.368608,0.368608,0.601344,0.601344,0.601344,0.601344,0.832746
-47.8504,0.983988,0.600448,3,7,0,0.376426,1.831,1.63449,0.168633,1.1858,0.317909,0.0603238,0.303003,0.376426,0.376426,0.376426,0.376426,0.317909,0.286281,0.286281,0.490605,0.490605,0.490605,0.490605,0.6945
-47.8504,0.697601,0.600448,2,3,0,0.376426,1.831,1.63449,0.168633,1.1858,0.317909,0.0603238,0.303003,0.376426,0.376426,0.376426,0.376426,0.317909,0.286281,0.286281,0.490605,0.490605,0.490605,0.490605,0.6945
-45.4835,1,0.600448,2,3,0,0.354156,1.47553,2.08137,0.167928,2.86979,0.453808,0.0809806,0.309972,0.354156,0.354156,0.354156,0.354156,0.453808,0.285274,0.285274,0.489166,0.489166,0.489166,0.489166,0.943289
-46.4264,0.957802,0.600448,3,7,0,0.468478,2.43528,1.19043,0.150734,4.05518,0.345506,0.0410261,0.326018,0.468478,0.468478,0.468478,0.468478,0.345506,0.260268,0.260268,0.452797,0.452797,0.452797,0.452797,0.982668
-45.8143,0.921463,0.600448,3,7,0,0.378301,1.35964,3.59826,0.157871,1.91232,0.265087,0.0971304,0.367946,0.378301,0.378301,0.378301,0.378301,0.265087,0.270753,0.270753,0.468198,0.468198,0.468198,0.468198,0.852263
-45.5953,0.900967,0.600448,3,7,0,0.467654,1.88868,1.10946,0.154129,2.82793,0.426594,0.0707429,0.313452,0.467654,0.467654,0.467654,0.467654,0.426594,0.265275,0.265275,0.460179,0.460179,0.460179,0.460179,0.940865
-45.5953,0.839191,0.600448,2,3,0,0.467654,1.88868,1.10946,0.154129,2.82793,0.426594,0.0707429,0.313452,0.467654,0.467654,0.467654,0.467654,0.426594,0.265275,0.265275,0.460179,0.460179,0.460179,0.460179,0.940865
-45.5567,0.986842,0.600448,3,7,0,0.442523,1.76224,0.935701,0.148348,2.62163,0.390515,0.0759634,0.268916,0.442523,0.442523,0.442523,0.442523,0.390515,0.256731,0.256731,0.447551,0.447551,0.447551,0.447551,0.927316
-45.5567,0.734513,0.600448,3,7,0,0.442523,1.76224,0.935701,0.148348,2.62163,0.390515,0.0759634,0.268916,0.442523,0.442523,0.442523,0.442523,0.390515,0.256731,0.256731,0.447551,0.447551,0.447551,0.447551,0.927316
-45.5567,0.736591,0.600448,3,7,0,0.442523,1.76224,0.935701,0.148348,2.62163,0.390515,0.0759634,0.268916,0.442523,0.442523,0.442523,0.442523,0.390515,0.256731,0.256731,0.447551,0.447551,0.447551,0.447551,0.927316
-45.4371,0.882608,0.600448,3,7,0,0.374434,1.23859,2.2261,0.142593,3.4859,0.263018,0.108508,0.334015,0.374434,0.374434,0.374434,0.374434,0.263018,0.248126,0.248126,0.434685,0.434685,0.434685,0.434685,0.969374
-46.4698,0.809225,0.600448,3,7,0,0.412048,1.35337,1.23916,0.175024,3.40106,0.480084,0.10646,0.292707,0.412048,0.412048,0.412048,0.412048,0.480084,0.295346,0.295346,0.503463,0.503463,0.503463,0.503463,0.966662
-45.4536,0.99447,0.600448,2,3,0,0.380352,1.32501,1.47923,0.162453,3.46222,0.435687,0.101098,0.293703,0.380352,0.380352,0.380352,0.380352,0.435687,0.277405,0.277405,0.477856,0.477856,0.477856,0.477856,0.96864
-48.8513,0.775016,0.600448,2,3,0,0.430494,1.12485,1.37095,0.197063,3.3755,0.440895,0.139782,0.321206,0.430494,0.430494,0.430494,0.430494,0.440895,0.325731,0.325731,0.545361,0.545361,0.545361,0.545361,0.965799
-45.4851,1,0.600448,3,7,0,0.429586,2.00178,1.24633,0.143544,2.67756,0.246239,0.058035,0.306055,0.429586,0.429586,0.429586,0.429586,0.246239,0.249554,0.249554,0.436831,0.436831,0.436831,0.436831,0.931269
-45.4851,0.75677,0.600448,3,7,0,0.429586,2.00178,1.24633,0.143544,2.67756,0.246239,0.058035,0.306055,0.429586,0.429586,0.429586,0.429586,0.246239,0.249554,0.249554,0.436831,0.436831,0.436831,0.436831,0.931269
-47.4587,0.913893,0.600448,4,15,0,0.321954,0.769401,3.25991,0.175143,2.66859,0.447593,0.149158,0.309594,0.321954,0.321954,0.321954,0.321954,0.447593,0.295513,0.295513,0.503699,0.503699,0.503699,0.503699,0.93065
-46.4205,0.985715,0.600448,3,7,0,0.390884,1.02132,1.42802,0.145438,2.74507,0.198263,0.140765,0.297157,0.390884,0.390884,0.390884,0.390884,0.198263,0.252392,0.252392,0.441083,0.441083,0.441083,0.441083,0.935756
-48.7345,0.461444,0.600448,3,7,0,0.433257,1.53642,1.51045,0.197983,2.19298,0.601178,0.0932155,0.337589,0.433257,0.433257,0.433257,0.433257,0.601178,0.326971,0.326971,0.547031,0.547031,0.547031,0.547031,0.888417
-46.2824,1,0.600448,3,7,0,0.428496,2.3771,1.18335,0.152432,1.99213,0.272307,0.0397727,0.297269,0.428496,0.428496,0.428496,0.428496,0.272307,0.262777,0.262777,0.456502,0.456502,0.456502,0.456502,0.863596
-46.2824,0.582571,0.600448,2,3,0,0.428496,2.3771,1.18335,0.152432,1.99213,0.272307,0.0397727,0.297269,0.428496,0.428496,0.428496,0.428496,0.272307,0.262777,0.262777,0.456502,0.456502,0.456502,0.456502,0.863596
