# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454467434
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.450852
# Diagonal elements of inverse mass matrix:
# 0.048736, 0.139795, 0.323374, 0.0188067, 0.106381, 0.255538
-45.9482,0.933271,0.450852,3,7,0,0.394764,1.7947,1.32879,0.154682,2.01073,0.218001,0.0656006,0.290232,0.394764,0.394764,0.394764,0.394764,0.218001,0.266087,0.266087,0.461371,0.461371,0.461371,0.461371,0.866109
-45.7768,0.984261,0.450852,3,7,0,0.405697,1.24276,3.15574,0.16884,2.28122,0.34937,0.117078,0.388411,0.405697,0.405697,0.405697,0.405697,0.34937,0.286576,0.286576,0.491026,0.491026,0.491026,0.491026,0.89784
-45.903,0.977323,0.450852,3,7,0,0.415987,1.55568,1.27613,0.1381,4.20407,0.280695,0.0877923,0.299879,0.415987,0.415987,0.415987,0.415987,0.280695,0.241338,0.241338,0.424432,0.424432,0.424432,0.424432,0.985065
-45.3469,0.997723,0.450852,2,3,0,0.418935,1.59594,1.28089,0.14695,3.96676,0.283772,0.0849259,0.30256,0.418935,0.418935,0.418935,0.418935,0.283772,0.25465,0.25465,0.444453,0.444453,0.444453,0.444453,0.981065
-47.1975,0.83114,0.450852,3,7,0,0.385771,1.10094,2.29729,0.181876,1.42213,0.216495,0.128291,0.346989,0.385771,0.385771,0.385771,0.385771,0.216495,0.304936,0.304936,0.516887,0.516887,0.516887,0.516887,0.7588
-44.993,0.986484,0.450852,3,7,0,0.402913,1.99258,1.44375,0.151257,2.77258,0.345748,0.0549343,0.307809,0.402913,0.402913,0.402913,0.402913,0.345748,0.261041,0.261041,0.45394,0.45394,0.45394,0.45394,0.937499
-46.5959,0.871053,0.450852,3,7,0,0.434202,2.39455,1.21544,0.177324,2.28608,0.450742,0.0396051,0.305426,0.434202,0.434202,0.434202,0.434202,0.450742,0.298579,0.298579,0.508009,0.508009,0.508009,0.508009,0.898335
-49.0329,0.927877,0.450852,3,7,0,0.331663,0.722957,3.48048,0.146511,1.64892,0.262579,0.160961,0.32145,0.331663,0.331663,0.331663,0.331663,0.262579,0.253994,0.253994,0.443475,0.443475,0.443475,0.443475,0.807742
-50.5242,0.887164,0.450852,3,7,0,0.41602,1.84621,1.79173,0.150017,10.3605,0.393233,0.0656623,0.346681,0.41602,0.41602,0.41602,0.41602,0.393233,0.259207,0.259207,0.451225,0.451225,0.451225,0.451225,0.999968
-47.3132,0.850635,0.450852,3,7,0,0.433427,1.65141,2.70793,0.160251,3.32871,0.123418,0.0831223,0.404528,0.433427,0.433427,0.433427,0.433427,0.123418,0.274215,0.274215,0.473236,0.473236,0.473236,0.473236,0.964161
-48.5365,0.95831,0.450852,3,7,0,0.379032,1.30265,0.853416,0.169298,2.18307,0.62794,0.103025,0.217581,0.379032,0.379032,0.379032,0.379032,0.62794,0.28723,0.28723,0.491959,0.491959,0.491959,0.491959,0.887305
