"","beta","r","logm1","logm2","sensrate","prop"
"129",0.404193,0.572641,2.09999,1.76409,0.157504,0.997462
"130",0.319112,0.252536,0.899682,2.52308,0.160961,0.788415
"131",0.364575,0.467341,1.06354,2.02291,0.159545,0.894475
"132",0.411733,0.132704,1.46414,2.36169,0.153864,0.910263
"133",0.411268,0.57951,1.93417,1.18374,0.165293,0.959556
"134",0.388694,0.423788,1.37242,1.48922,0.156538,0.793109
"135",0.379168,0.402403,1.26949,2.66477,0.146874,0.913941
"136",0.371673,0.329797,1.20431,1.99677,0.144431,0.982872
"137",0.327803,0.299623,1.27713,1.91415,0.157149,0.996138
"138",0.426468,0.30475,1.61948,2.88368,0.158528,0.980006
"139",0.431363,0.31451,1.48748,3.34158,0.145137,0.996013
"140",0.332885,0.315763,1.18117,2.694,0.157898,0.905251
"141",0.43863,0.366934,1.31735,1.16802,0.136953,0.901409
"142",0.418365,0.282607,2.30733,2.02759,0.177651,0.964386
"143",0.447,0.244054,2.34982,2.38669,0.173324,0.981101
"144",0.403483,0.22531,1.44102,2.27092,0.145701,0.982241
"145",0.389033,0.352625,1.41045,3.05886,0.184956,0.891707
"146",0.422818,0.514819,2.35752,1.67738,0.144518,0.959484
"147",0.380521,0.373151,1.67508,1.46244,0.131407,0.999817
"148",0.397267,0.334735,1.30819,1.84058,0.114856,0.99983
"149",0.443599,0.371892,1.75789,1.72578,0.147351,0.995576
"150",0.448766,0.395931,1.79031,1.82691,0.138237,0.989811
"151",0.423872,0.221071,2.43801,1.67503,0.185477,0.786063
"152",0.367696,0.251339,2.0494,1.53075,0.170594,0.850101
"153",0.371712,0.365122,1.85596,1.23868,0.151748,0.968557
"154",0.450431,0.359763,1.68136,1.41102,0.157685,0.974097
"155",0.373419,0.47246,1.80809,1.76331,0.158222,0.889993
"156",0.389313,0.592487,1.72512,1.84949,0.164712,0.921321
"157",0.412919,0.249621,1.49114,2.54447,0.172409,0.950962
"158",0.412919,0.249621,1.49114,2.54447,0.172409,0.950962
"159",0.347757,0.29767,1.53169,1.41117,0.15667,0.915909
"160",0.391592,0.363025,1.62119,1.3979,0.165478,0.908752
"161",0.404522,0.241785,1.28713,1.22652,0.164736,0.926874
"162",0.362108,0.355219,1.15362,3.95042,0.161956,0.904868
"163",0.35672,0.219938,0.973263,1.28078,0.15894,0.966909
