# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_one_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 959355769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.193936
# Diagonal elements of inverse mass matrix:
# 1.63706, 0.0746066, 0.472884, 0.0133464, 0.147909, 0.423134

-25.3326,0.930706,0.193936,3,7,0,2.37437,2.30682,1.20198,0.18418,0.993297,0.035916,0.236433,1.66063,2.37437,2.37437,0.035916,0.168214,0.168214,0.424513,0.424513,0.629646
-25.2501,0.926262,0.193936,4,15,0,2.22669,1.80006,1.36114,0.178852,1.17073,0.0364156,0.368046,1.65583,2.22669,2.22669,0.0364156,0.16377,0.16377,0.415241,0.415241,0.689859
-24.3482,0.876571,0.193936,4,15,0,2.31586,1.82527,2.36375,0.145885,1.13303,0.0292245,0.373257,2.09801,2.31586,2.31586,0.0292245,0.135743,0.135743,0.354451,0.354451,0.677944
-24.4526,0.995368,0.193936,4,15,0,3.67669,1.89229,0.867252,0.1497,1.48016,0.0238479,0.554175,2.1321,3.67669,3.67669,0.0238479,0.139034,0.139034,0.361797,0.361797,0.772399
-24.1279,0.955385,0.193936,4,15,0,2.81064,1.77935,0.650348,0.144509,1.49329,0.0295293,0.474289,1.34387,2.81064,2.81064,0.0295293,0.134553,0.134553,0.351781,0.351781,0.775368
-25.7595,0.96755,0.193936,4,15,0,2.83886,2.67048,0.586713,0.150867,2.16495,0.0457757,0.196503,1.26002,2.83886,2.83886,0.0457757,0.140038,0.140038,0.364029,0.364029,0.885244
-26.2805,0.970156,0.193936,4,15,0,1.56686,2.28777,0.650166,0.122079,1.22246,0.0577912,0.159024,0.749024,1.56686,1.56686,0.0577912,0.114922,0.114922,0.306662,0.306662,0.705494
-26.2805,0.621723,0.193936,4,15,0,1.56686,2.28777,0.650166,0.122079,1.22246,0.0577912,0.159024,0.749024,1.56686,1.56686,0.0577912,0.114922,0.114922,0.306662,0.306662,0.705494
-25.2201,0.997358,0.193936,4,15,0,3.5441,1.82334,0.540706,0.123665,1.77696,0.0269451,0.57232,1.48024,3.5441,3.5441,0.0269451,0.116324,0.116324,0.309952,0.309952,0.830848
-24.8216,0.975073,0.193936,4,15,0,2.8313,1.70956,0.757795,0.127678,1.56527,0.0214038,0.512313,1.50427,2.8313,2.8313,0.0214038,0.119863,0.119863,0.318211,0.318211,0.790968
-24.2017,0.986325,0.193936,4,15,0,3.26034,1.80861,2.12686,0.148852,1.58941,0.0194089,0.534313,2.87167,3.26034,3.26034,0.0194089,0.138303,0.138303,0.360172,0.360172,0.795953
-27.5195,0.981403,0.193936,4,15,0,3.84275,1.30204,4.43114,0.160688,0.937206,0.00800765,1.04514,3.79701,3.84275,3.84275,0.00800765,0.148442,0.148442,0.382493,0.382493,0.608279
-26.4871,1,0.193936,3,7,0,3.77498,1.29156,3.58222,0.167158,1.10426,0.00874689,1.03752,3.66998,3.77498,3.77498,0.00874689,0.153934,0.153934,0.394363,0.394363,0.668545
-24.8816,0.993962,0.193936,4,15,0,3.21622,1.63561,1.35881,0.1144,2.29687,0.0189133,0.626626,2.38975,3.21622,3.21622,0.0189133,0.108099,0.108099,0.290504,0.290504,0.899427
-26.7903,0.987664,0.193936,4,15,0,3.12758,2.11936,1.25003,0.103153,3.77888,0.0250249,0.375649,2.23154,3.12758,3.12758,0.0250249,0.0980112,0.0980112,0.266157,0.266157,0.977152
-24.8278,0.982152,0.193936,5,31,0,1.61645,2.53232,0.883705,0.132952,1.73906,0.0595788,0.128466,0.948455,1.61645,1.61645,0.0595788,0.124493,0.124493,0.328912,0.328912,0.824315
-26.2955,0.989908,0.193936,4,15,0,1.90546,2.83267,0.732894,0.133685,2.65901,0.0617511,0.112147,0.989853,1.90546,1.90546,0.0617511,0.125135,0.125135,0.330387,0.330387,0.929983
-24.8212,0.941146,0.193936,3,7,0,2.07462,2.57321,0.972514,0.126661,2.46375,0.0487497,0.158273,1.29014,2.07462,2.07462,0.0487497,0.118968,0.118968,0.316127,0.316127,0.914885
-25.8607,0.767099,0.193936,5,31,0,3.76078,2.49807,0.337751,0.134538,1.36821,0.0306016,0.309299,1.07794,3.76078,3.76078,0.0306016,0.125881,0.125881,0.332099,0.332099,0.745438
-25.1956,0.930611,0.193936,4,15,0,2.98519,3.01562,0.543137,0.127357,1.96223,0.0491351,0.14632,1.25103,2.98519,2.98519,0.0491351,0.119581,0.119581,0.317554,0.317554,0.859455
-23.9044,0.964257,0.193936,5,31,0,1.28743,1.50292,2.07242,0.144666,1.33488,0.0507476,0.286426,1.12536,1.28743,1.28743,0.0507476,0.134689,0.134689,0.352087,0.352087,0.736811
-25.354,0.23763,0.193936,5,31,0,4.09646,2.5772,0.745868,0.128446,1.68011,0.0185901,0.311276,2.15342,4.09646,4.09646,0.0185901,0.120539,0.120539,0.319779,0.319779,0.813646
-24.2139,0.95478,0.193936,4,15,0,2.41834,1.77077,1.28519,0.126726,2.63584,0.0281343,0.411606,1.74943,2.41834,2.41834,0.0281343,0.119025,0.119025,0.31626,0.31626,0.928341
-24.6305,0.992153,0.193936,4,15,0,1.16738,1.57253,1.25861,0.125647,1.59824,0.0618331,0.242253,0.835785,1.16738,1.16738,0.0618331,0.118074,0.118074,0.314043,0.314043,0.797747
-23.7949,0.190394,0.193936,3,7,0,1.8381,1.92123,1.45994,0.124281,1.62128,0.0368293,0.269147,1.4112,1.8381,1.8381,0.0368293,0.116868,0.116868,0.311226,0.311226,0.802354
-24.7594,0.987909,0.193936,5,31,0,3.34884,1.86126,0.604409,0.162579,1.22788,0.026243,0.520665,1.51904,3.34884,3.34884,0.026243,0.150051,0.150051,0.385986,0.385986,0.707087
-25.7317,0.987649,0.193936,4,15,0,3.11257,1.27463,4.04806,0.15514,1.32225,0.0114309,0.870071,3.05824,3.11257,3.11257,0.0114309,0.143705,0.143705,0.372129,0.372129,0.733465
-27.2693,0.936264,0.193936,5,31,0,2.11073,1.66747,0.505181,0.113218,2.45707,0.0538199,0.398347,0.837124,2.11073,2.11073,0.0538199,0.107044,0.107044,0.287983,0.287983,0.914314
-27.2693,0.720588,0.193936,4,15,0,2.11073,1.66747,0.505181,0.113218,2.45707,0.0538199,0.398347,0.837124,2.11073,2.11073,0.0538199,0.107044,0.107044,0.287983,0.287983,0.914314
-25.61,0.999849,0.193936,5,31,0,2.03643,2.36501,1.08218,0.130647,1.07587,0.034024,0.191318,1.34637,2.03643,2.03643,0.034024,0.122473,0.122473,0.324257,0.324257,0.658998
-26.092,0.997691,0.193936,4,15,0,2.89791,1.92209,0.859738,0.164433,1.79829,0.0265771,0.423965,1.6713,2.89791,2.89791,0.0265771,0.151626,0.151626,0.389392,0.389392,0.834418
-25.9401,0.945941,0.193936,5,31,0,2.84107,2.93088,0.878877,0.125955,1.71922,0.0470472,0.151571,1.66132,2.84107,2.84107,0.0470472,0.118346,0.118346,0.314677,0.314677,0.820795
-26.1226,1,0.193936,2,3,0,2.34464,3.09989,0.884245,0.128071,1.596,0.0418817,0.105636,1.37624,2.34464,2.34464,0.0418817,0.120209,0.120209,0.319013,0.319013,0.797295
-24.5517,0.981888,0.193936,5,31,0,4.10941,2.43299,0.652794,0.144083,1.61823,0.0276349,0.360701,1.9701,4.10941,4.10941,0.0276349,0.134185,0.134185,0.350953,0.350953,0.801751
-29.3631,0.974198,0.193936,4,15,0,4.80933,3.64556,0.504966,0.131461,2.6967,0.033602,0.125557,1.90677,4.80933,4.80933,0.033602,0.123187,0.123187,0.325904,0.325904,0.932572
-27.2316,0.969675,0.193936,4,15,0,1.72728,2.21625,0.365744,0.136265,1.04573,0.0615282,0.188303,0.529099,1.72728,1.72728,0.0615282,0.127389,0.127389,0.335549,0.335549,0.648565
-26.486,1,0.193936,2,3,0,1.85954,2.18773,0.354164,0.135203,1.10614,0.0671815,0.208586,0.554588,1.85954,1.85954,0.0671815,0.126462,0.126462,0.33343,0.33343,0.669166
-26.4464,0.999069,0.193936,5,31,0,2.52081,1.39209,5.37902,0.143062,1.93464,0.020361,0.62656,2.50918,2.52081,2.52081,0.020361,0.133299,0.133299,0.34896,0.34896,0.855524
