# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596530953
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.290138
# Diagonal elements of inverse mass matrix:
# 1.20564, 0.0874221, 0.235342, 0.0146673, 0.131796, 0.135036

-35.3855,0.992585,0.290138,4,15,0,0.786326,1.95754,0.7026,0.158438,1.076,0.391322,0.111033,0.396862,0.786326,0.786326,0.391322,0.146524,0.146524,0.37831,0.37831,0.659043
-33.8483,0.950045,0.290138,3,7,0,0.880794,1.62044,1.23894,0.150032,1.91024,0.407668,0.174231,0.625635,0.880794,0.880794,0.407668,0.139319,0.139319,0.362432,0.362432,0.851955
-34.3414,0.978115,0.290138,4,15,0,0.773219,1.73746,1.98367,0.161296,0.997458,0.168802,0.136061,0.666852,0.773219,0.773219,0.168802,0.14896,0.14896,0.383617,0.383617,0.631184
-34.4976,0.984373,0.290138,4,15,0,0.666503,0.923579,3.17928,0.165175,1.79305,0.163857,0.264665,0.638766,0.666503,0.666503,0.163857,0.152254,0.152254,0.390749,0.390749,0.833548
-32.8376,0.977236,0.290138,4,15,0,0.616904,1.17113,3.45156,0.130619,1.77364,0.254843,0.19125,0.59735,0.616904,0.616904,0.254843,0.122448,0.122448,0.324199,0.324199,0.830286
-33.0144,0.17507,0.290138,4,15,0,0.558066,1.27783,3.34727,0.14759,1.30715,0.234365,0.1555,0.538433,0.558066,0.558066,0.234365,0.137215,0.137215,0.357744,0.357744,0.729409
-33.0845,0.619805,0.290138,3,7,0,0.549647,0.977567,3.92294,0.14618,1.74022,0.211077,0.206791,0.538773,0.549647,0.549647,0.211077,0.135997,0.135997,0.355022,0.355022,0.824518
-32.8102,0.999772,0.290138,4,15,0,0.72715,1.74856,1.58457,0.129387,3.15258,0.362912,0.126541,0.578059,0.72715,0.72715,0.362912,0.121366,0.121366,0.321697,0.321697,0.957258
-32.2611,0.967959,0.290138,4,15,0,0.645538,1.22451,2.51723,0.129144,1.90007,0.248003,0.189724,0.593454,0.645538,0.645538,0.248003,0.121153,0.121153,0.321203,0.321203,0.850441
-35.1967,0.313455,0.290138,5,31,0,0.971182,1.97866,1.20443,0.145031,2.82919,0.401903,0.134271,0.679962,0.971182,0.971182,0.401903,0.135004,0.135004,0.352795,0.352795,0.94094
-33.0639,0.952469,0.290138,5,31,0,0.728889,1.45403,2.52086,0.143503,1.33225,0.207747,0.170288,0.670293,0.728889,0.728889,0.207747,0.133682,0.133682,0.349822,0.349822,0.736116
-31.8198,0.96057,0.290138,4,15,0,0.679207,1.60943,3.03368,0.140309,2.26753,0.215075,0.135842,0.646511,0.679207,0.679207,0.215075,0.13091,0.13091,0.343562,0.343562,0.896432
-33.4798,0.941126,0.290138,4,15,0,0.612184,1.26212,3.6823,0.147512,2.53441,0.363465,0.173281,0.596778,0.612184,0.612184,0.363465,0.137148,0.137148,0.357594,0.357594,0.920691
-33.6201,0.961349,0.290138,3,7,0,0.638821,1.84457,3.51091,0.133227,1.72179,0.341907,0.100993,0.619739,0.638821,0.638821,0.341907,0.124734,0.124734,0.329467,0.329467,0.821255
-34.2667,0.285441,0.290138,4,15,0,0.884748,2.04242,2.11093,0.12669,2.37682,0.354857,0.114764,0.777582,0.884748,0.884748,0.354857,0.118993,0.118993,0.316186,0.316186,0.907155
-32.9108,0.992126,0.290138,4,15,0,0.781749,1.84189,2.59037,0.144262,3.4482,0.312632,0.123921,0.723124,0.781749,0.781749,0.312632,0.134339,0.134339,0.351301,0.351301,0.968197
-33.7628,0.985952,0.290138,4,15,0,0.637189,1.04897,4.73756,0.137408,2.31841,0.274846,0.223205,0.631607,0.637189,0.637189,0.274846,0.128385,0.128385,0.337823,0.337823,0.90157
-32.5414,0.992679,0.290138,4,15,0,0.707362,1.92629,1.75241,0.131519,2.37366,0.346191,0.103054,0.584737,0.707362,0.707362,0.346191,0.123237,0.123237,0.32602,0.32602,0.906861
-32.6594,0.828273,0.290138,4,15,0,0.863319,1.80479,0.926853,0.141246,1.97767,0.153134,0.142023,0.521619,0.863319,0.863319,0.153134,0.131724,0.131724,0.345404,0.345404,0.861608
-33.989,0.950487,0.290138,3,7,0,0.952265,1.58109,0.719031,0.146243,2.4695,0.236733,0.19593,0.488299,0.952265,0.952265,0.236733,0.136052,0.136052,0.355144,0.355144,0.915372
-33.5129,0.994654,0.290138,4,15,0,0.965911,2.02763,0.968453,0.146354,2.72735,0.272496,0.127159,0.599184,0.965911,0.965911,0.272496,0.136148,0.136148,0.35536,0.35536,0.934608
-33.1934,0.987292,0.290138,4,15,0,0.83407,2.10485,1.32128,0.127771,2.12783,0.151178,0.101643,0.611545,0.83407,0.83407,0.151178,0.119945,0.119945,0.3184,0.3184,0.880904
-32.3844,0.926175,0.290138,3,7,0,0.852585,1.68769,1.95686,0.15197,1.94846,0.262288,0.157682,0.732114,0.852585,0.852585,0.262288,0.140986,0.140986,0.36613,0.36613,0.857506
-36.2639,0.238547,0.290138,4,15,0,0.733239,0.805539,1.56962,0.172968,1.77882,0.165249,0.327646,0.580635,0.733239,0.733239,0.165249,0.158836,0.158836,0.404828,0.404828,0.831163
-36.8203,0.904075,0.290138,4,15,0,0.758757,0.92562,1.11492,0.121976,2.83743,0.105205,0.300684,0.50993,0.758757,0.758757,0.105205,0.114831,0.114831,0.306448,0.306448,0.941424
-36.4177,0.469467,0.290138,4,15,0,0.643139,0.975526,1.26628,0.121361,2.85873,0.0869571,0.242459,0.461853,0.643139,0.643139,0.0869571,0.114286,0.114286,0.305167,0.305167,0.942658
-38.5417,0.846282,0.290138,4,15,0,0.578698,1.211,2.87595,0.110519,2.55764,0.0692499,0.172393,0.546082,0.578698,0.578698,0.0692499,0.104631,0.104631,0.282194,0.282194,0.922513
-32.3787,0.939236,0.290138,4,15,0,0.620182,0.988351,1.58573,0.144182,2.26649,0.273268,0.230825,0.493169,0.620182,0.620182,0.273268,0.13427,0.13427,0.351146,0.351146,0.896324
-32.4429,0.860833,0.290138,4,15,0,0.743334,1.84538,2.44982,0.14291,1.40809,0.241175,0.117421,0.679177,0.743334,0.743334,0.241175,0.133168,0.133168,0.348665,0.348665,0.75539
-34.2646,0.898939,0.290138,4,15,0,0.761555,2.39406,2.28683,0.175953,1.66001,0.315203,0.069498,0.68419,0.761555,0.761555,0.315203,0.161343,0.161343,0.410134,0.410134,0.809862
-32.1728,0.994797,0.290138,4,15,0,0.811418,1.36079,1.03382,0.147201,1.91869,0.253982,0.208094,0.522841,0.811418,0.811418,0.253982,0.13688,0.13688,0.356996,0.356996,0.8532
-34.3194,0.897091,0.290138,2,3,0,0.728765,1.57664,0.774924,0.158575,1.89795,0.22815,0.150613,0.392995,0.728765,0.728765,0.22815,0.146641,0.146641,0.378566,0.378566,0.850124
-34.2198,0.683472,0.290138,4,15,0,0.687557,2.20483,2.49049,0.172527,1.75936,0.301763,0.0758161,0.63058,0.687557,0.687557,0.301763,0.158464,0.158464,0.404039,0.404039,0.827845
-35.6051,0.997408,0.290138,4,15,0,0.885467,2.06072,3.69822,0.180956,1.74379,0.192179,0.112775,0.863536,0.885467,0.885467,0.192179,0.165528,0.165528,0.418921,0.418921,0.825144
-37.6036,0.930401,0.290138,3,7,0,0.728286,1.36859,7.12924,0.176751,1.67617,0.148371,0.185323,0.727703,0.728286,0.728286,0.148371,0.162012,0.162012,0.411544,0.411544,0.812911
