lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R0,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,params.9,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,blood.8,prop
# Adaptation terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Step size = 0.464262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Diagonal elements of inverse mass matrix:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 0.501615,0.120071,0.243412,0.0151765,0.0200817,0.344187,,,,,,,,,,,,,,,,,,,,,,,,,
36.1636,0.924931,0.464262,3,7,0,-34.088,1.13652,4.0734,0.318887,0.133952,0.179556,0.405875,0.00484419,0.0777153,0.284627,0.284627,0.284627,0.284627,0.284627,0.284627,0.405875,0.414803,0.414803,0.414803,0.700477,0.700477,0.700477,0.700477,0.700477,0.164359
34.1461,0.806906,0.464262,2,7,0,-31.9336,1.2581,2.28517,0.324476,0.126672,0.154555,0.477717,0.032061,0.0873051,0.315074,0.315074,0.315074,0.315074,0.315074,0.315074,0.477717,0.397511,0.397511,0.397511,0.680195,0.680195,0.680195,0.680195,0.680195,0.143204
33.7512,0.495993,0.464262,5,31,0,-24.8309,1.27514,1.30479,0.449992,0.112016,0.214775,0.404522,0.0866157,0.11572,0.319343,0.319343,0.319343,0.319343,0.319343,0.319343,0.404522,0.361135,0.361135,0.361135,0.635103,0.635103,0.635103,0.635103,0.635103,0.193277
35.435,0.99371,0.464262,3,15,0,-32.1045,1.20991,1.29477,0.30223,0.120759,0.233947,0.346214,0.0830123,0.079034,0.303007,0.303007,0.303007,0.303007,0.303007,0.303007,0.346214,0.383093,0.383093,0.383093,0.662717,0.662717,0.662717,0.662717,0.662717,0.208596
36.2265,0.916521,0.464262,3,15,0,-33.24,1.21706,1.33259,0.564288,0.130286,0.175558,0.199408,0.0804034,0.13144,0.304798,0.304798,0.304798,0.304798,0.304798,0.304798,0.199408,0.406159,0.406159,0.406159,0.690431,0.690431,0.690431,0.690431,0.690431,0.161011
37.4833,0.966916,0.464262,3,7,0,-35.043,1.13921,1.67595,0.331793,0.128713,0.172414,0.319615,0.053388,0.0805585,0.2853,0.2853,0.2853,0.2853,0.2853,0.2853,0.319615,0.402411,0.402411,0.402411,0.686018,0.686018,0.686018,0.686018,0.686018,0.158369
36.3496,0.91949,0.464262,3,7,0,-34.7547,1.08965,3.03797,0.338188,0.143074,0.160876,0.3187,0.0130801,0.0783023,0.272888,0.272888,0.272888,0.272888,0.272888,0.272888,0.3187,0.43577,0.43577,0.43577,0.724085,0.724085,0.724085,0.724085,0.724085,0.148603
37.3418,0.994809,0.464262,3,7,0,-35.9824,1.20996,2.6993,0.267117,0.141846,0.170119,0.457582,0.0203789,0.0710328,0.30302,0.30302,0.30302,0.30302,0.30302,0.30302,0.457582,0.432994,0.432994,0.432994,0.721021,0.721021,0.721021,0.721021,0.721021,0.156436
31.1405,0.482168,0.464262,2,3,0,-30.7699,1.09937,2.95256,0.138774,0.1677,0.192248,0.390407,0.0143735,0.0356753,0.275324,0.275324,0.275324,0.275324,0.275324,0.275324,0.390407,0.488701,0.488701,0.488701,0.778935,0.778935,0.778935,0.778935,0.778935,0.174898
35.8557,1,0.464262,2,3,0,-30.2916,1.14013,1.90954,0.173746,0.162908,0.166813,0.402594,0.042301,0.0455394,0.285531,0.285531,0.285531,0.285531,0.285531,0.285531,0.402594,0.478806,0.478806,0.478806,0.769193,0.769193,0.769193,0.769193,0.769193,0.153642
33.2806,0.97568,0.464262,3,7,0,-31.9215,1.06569,3.61627,0.573428,0.153783,0.14773,0.55352,0.00717472,0.116473,0.266889,0.266889,0.266889,0.266889,0.266889,0.266889,0.55352,0.459431,0.459431,0.459431,0.749438,0.749438,0.749438,0.749438,0.749438,0.137336
31.856,0.870072,0.464262,3,7,0,-28.4451,1.04249,3.29112,0.194145,0.140062,0.149832,0.290195,0.00971528,0.0460703,0.261079,0.261079,0.261079,0.261079,0.261079,0.261079,0.290195,0.428932,0.428932,0.428932,0.716503,0.716503,0.716503,0.716503,0.716503,0.139147
32.7996,0.897655,0.464262,2,7,0,-28.6894,1.0171,2.30262,0.182743,0.140856,0.1648,0.369887,0.0254713,0.0425429,0.254721,0.254721,0.254721,0.254721,0.254721,0.254721,0.369887,0.430744,0.430744,0.430744,0.718524,0.718524,0.718524,0.718524,0.718524,0.151937
36.2642,0.910572,0.464262,4,15,0,-31.1684,1.19592,2.20612,0.533251,0.114584,0.244861,0.326705,0.0329834,0.123786,0.299503,0.299503,0.299503,0.299503,0.299503,0.299503,0.326705,0.367666,0.367666,0.367666,0.643442,0.643442,0.643442,0.643442,0.643442,0.217186
35.4766,0.973089,0.464262,4,15,0,-34.1495,1.09317,3.15557,0.477982,0.172334,0.146371,0.393043,0.0116665,0.104024,0.273771,0.273771,0.273771,0.273771,0.273771,0.273771,0.393043,0.49809,0.49809,0.49809,0.787965,0.787965,0.787965,0.787965,0.787965,0.136163
35.528,0.958066,0.464262,3,7,0,-33.4358,1.12776,3.89201,0.501763,0.143805,0.15317,0.355676,0.00576284,0.11143,0.282432,0.282432,0.282432,0.282432,0.282432,0.282432,0.355676,0.437419,0.437419,0.437419,0.725895,0.725895,0.725895,0.725895,0.725895,0.142016
35.3123,0.883185,0.464262,3,7,0,-30.3959,1.1119,2.19381,0.796678,0.171471,0.152784,0.277001,0.0310461,0.152925,0.278462,0.278462,0.278462,0.278462,0.278462,0.278462,0.277001,0.496355,0.496355,0.496355,0.786312,0.786312,0.786312,0.786312,0.786312,0.141685
30.1911,0.928325,0.464262,3,7,0,-28.8109,1.01277,1.09498,0.128058,0.134732,0.168255,0.580296,0.0848534,0.0304865,0.253636,0.253636,0.253636,0.253636,0.253636,0.253636,0.580296,0.416626,0.416626,0.416626,0.702573,0.702573,0.702573,0.702573,0.702573,0.154861
33.2022,0.952435,0.464262,4,23,0,-25.6371,1.04002,1.06667,0.698716,0.139444,0.187884,0.242674,0.0896381,0.130953,0.26046,0.26046,0.26046,0.26046,0.26046,0.26046,0.242674,0.427518,0.427518,0.427518,0.714922,0.714922,0.714922,0.714922,0.714922,0.171289
32.5493,0.981582,0.464262,3,7,0,-27.6233,1.07883,1.95589,2.12541,0.135405,0.200274,0.328603,0.0382138,0.237923,0.270178,0.270178,0.270178,0.270178,0.270178,0.270178,0.328603,0.418194,0.418194,0.418194,0.704368,0.704368,0.704368,0.704368,0.704368,0.181493
32.622,0.813655,0.464262,3,7,0,-28.8654,1.02663,2.16338,0.228267,0.108251,0.184029,0.601061,0.0295507,0.0524724,0.257106,0.257106,0.257106,0.257106,0.257106,0.257106,0.601061,0.351443,0.351443,0.351443,0.622529,0.622529,0.622529,0.622529,0.622529,0.168088
31.6666,0.917852,0.464262,3,15,0,-28.6401,1.08691,2.00974,0.220475,0.139405,0.198481,0.811061,0.0364814,0.0538586,0.272202,0.272202,0.272202,0.272202,0.272202,0.272202,0.811061,0.427429,0.427429,0.427429,0.714822,0.714822,0.714822,0.714822,0.714822,0.180025
38.1714,0.991559,0.464262,2,7,0,-30.5904,1.19339,2.61174,0.350614,0.125765,0.189197,0.333492,0.0219389,0.0883888,0.298869,0.298869,0.298869,0.298869,0.298869,0.298869,0.333492,0.395323,0.395323,0.395323,0.677575,0.677575,0.677575,0.677575,0.677575,0.172376
36.6999,0.842912,0.464262,2,7,0,-35.0648,1.21397,2.03016,0.232583,0.129865,0.158994,0.214347,0.0399227,0.0630899,0.304024,0.304024,0.304024,0.304024,0.304024,0.304024,0.214347,0.405157,0.405157,0.405157,0.689255,0.689255,0.689255,0.689255,0.689255,0.146998
36.8554,0.988301,0.464262,3,7,0,-34.4704,1.24029,2.72673,0.352521,0.13509,0.218695,0.372433,0.0203245,0.0922795,0.310615,0.310615,0.310615,0.310615,0.310615,0.310615,0.372433,0.417461,0.417461,0.417461,0.70353,0.70353,0.70353,0.70353,0.70353,0.196433
35.6601,0.8855,0.464262,3,7,0,-34.0709,1.08903,2.0075,0.559294,0.150862,0.140128,0.356489,0.0366348,0.116836,0.272735,0.272735,0.272735,0.272735,0.272735,0.272735,0.356489,0.453077,0.453077,0.453077,0.742763,0.742763,0.742763,0.742763,0.742763,0.130753
37.4572,1,0.464262,3,7,0,-35.1976,1.29757,2.68347,0.254157,0.155217,0.179828,0.294474,0.0222031,0.0729308,0.32496,0.32496,0.32496,0.32496,0.32496,0.32496,0.294474,0.462523,0.462523,0.462523,0.752651,0.752651,0.752651,0.752651,0.752651,0.164586
37.7592,0.845388,0.464262,2,3,0,-35.0188,1.29201,2.83792,0.268268,0.140602,0.161281,0.252597,0.018944,0.0761344,0.323567,0.323567,0.323567,0.323567,0.323567,0.323567,0.252597,0.430164,0.430164,0.430164,0.717878,0.717878,0.717878,0.717878,0.717878,0.148947
35.9701,0.722983,0.464262,3,7,0,-34.5939,1.17913,2.85893,0.210899,0.171713,0.151513,0.267359,0.0169295,0.056149,0.295297,0.295297,0.295297,0.295297,0.295297,0.295297,0.267359,0.496843,0.496843,0.496843,0.786777,0.786777,0.786777,0.786777,0.786777,0.140593
37.5948,0.935698,0.464262,3,7,0,-34.8434,1.14212,1.82064,0.265631,0.146239,0.164652,0.329576,0.0463148,0.0667247,0.28603,0.28603,0.28603,0.28603,0.28603,0.28603,0.329576,0.442869,0.442869,0.442869,0.731834,0.731834,0.731834,0.731834,0.731834,0.151811
34.5466,0.884794,0.464262,3,7,0,-33.8241,1.06124,3.73127,0.265433,0.143725,0.156501,0.533414,0.00636857,0.0619589,0.265774,0.265774,0.265774,0.265774,0.265774,0.265774,0.533414,0.437239,0.437239,0.437239,0.725698,0.725698,0.725698,0.725698,0.725698,0.144869
36.2192,0.987,0.464262,3,7,0,-33.3964,1.0849,2.31886,0.618963,0.161941,0.170424,0.337856,0.0267313,0.125389,0.2717,0.2717,0.2717,0.2717,0.2717,0.2717,0.337856,0.476786,0.476786,0.476786,0.767176,0.767176,0.767176,0.767176,0.767176,0.156693
36.6419,0.96231,0.464262,3,7,0,-34.5688,1.15588,2.2816,0.17393,0.124967,0.172803,0.389615,0.0295613,0.0462131,0.289475,0.289475,0.289475,0.289475,0.289475,0.289475,0.389615,0.39339,0.39339,0.39339,0.675252,0.675252,0.675252,0.675252,0.675252,0.158696
34.221,0.912229,0.464262,3,7,0,-31.3337,1.13672,4.2503,0.508382,0.104976,0.222802,0.375973,0.00405947,0.113453,0.284676,0.284676,0.284676,0.284676,0.284676,0.284676,0.375973,0.342891,0.342891,0.342891,0.611238,0.611238,0.611238,0.611238,0.611238,0.199727
36.8155,0.998566,0.464262,3,7,0,-33.5191,1.25685,2.35625,0.614121,0.122266,0.217469,0.245017,0.0298314,0.144439,0.314762,0.314762,0.314762,0.314762,0.314762,0.314762,0.245017,0.3868,0.3868,0.3868,0.667261,0.667261,0.667261,0.667261,0.667261,0.195447
33.8564,0.693127,0.464262,3,7,0,-31.0996,1.03131,1.34647,0.663658,0.110471,0.206207,0.355716,0.0671932,0.125274,0.258279,0.258279,0.258279,0.258279,0.258279,0.258279,0.355716,0.357175,0.357175,0.357175,0.629994,0.629994,0.629994,0.629994,0.629994,0.186335
37.9273,0.731828,0.464262,3,7,0,-28.5353,1.1637,2.10172,0.377993,0.125442,0.177865,0.327846,0.0356267,0.0917333,0.291435,0.291435,0.291435,0.291435,0.291435,0.291435,0.327846,0.394542,0.394542,0.394542,0.676637,0.676637,0.676637,0.676637,0.676637,0.162945
